LICENSE NUMBER,LICENSE TYPE,ESTABLISHMENT,STREET ADDRESS,CITY/TOWN,PROVINCE,POSTAL CODE,Location
003870,Special Premises,Petrie's Halifax Feast Dinner Theatre ,1505 Barrington ST,Halifax,NS,B3J 3K5,"Halifax, NS B3J 3K5
(44.644489, -63.572554)"
001116,Special Premises,Dalhousie University,6136 University AV,Halifax,NS,B3H 4J2,"Halifax, NS B3H 4J2
(44.637065, -63.589393)"
005421,Eating Establishment,Shokry Restaurant,9881 Highway #1  ,Saulnierville,NS,B0W 2Z0,"Saulnierville, NS B0W 2Z0
(44.248052, -66.105935)"
005138,Lounge,Wooden Monkey Lounge,1707 Grafton  ST,Halifax,NS,B3J 2C6,"Halifax, NS B3J 2C6
(44.646977, -63.575406)"
001883,Special Premises,Lake District Recreation Association,91 First Lake DR,Lower Sackville,NS,B4E 1S9,"Lower Sackville, NS B4E 1S9
(44.778641, -63.703601)"
005653,Eating Establishment,The Blooming Cafe,355 Herring Cove  RD,Halifax,NS,B3R 1V9,"Halifax, NS B3R 1V9
(44.612651, -63.616501)"
002628,Special Premises,Clansman Motel,9 Baird ST,North Sydney,NS,B2A 2M3,"North Sydney, NS B2A 2M3
(46.20848, -60.260963)"
006121,Eating Establishment,La Shoppe Verte Ltee,1474 Patrice RD,Church Point,NS,B0W 1M0,"Church Point, NS B0W 1M0
(44.309954, -66.078389)"
004067,Special Premises,Cape Breton University,1250 Grand Lake RD,Sydney,NS,B1P 6L2,"Sydney, NS B1P 6L2
(46.14367, -60.19332)"
006022,Eating Establishment,Lin Garden Restaurant,537 Hwy. 2 ,Elmsdale,NS,B2S 1A4,"Elmsdale, NS B2S 1A4
(44.96518, -63.50864)"
006316,Eating Establishment,Rob's Underground Entertainment,2 Elliot ST,Sydney Mines,NS,B1V 2N2,"Sydney Mines, NS B1V 2N2
(46.243692, -60.229498)"
005542,Eating Establishment,Canton Garden Restaurant,30 Farnham Gate  RD,Halifax,,B3M 3W8,"Halifax B3M 3W8
(44.673279, -63.664255)"
004082,Lounge,Dooly's Lounge (Port Hawkesbury),634  Hwy 4 Reeves  ST,Port Hawkesbury,NS,B9A 2R7,"Port Hawkesbury, NS B9A 2R7
(45.61549, -61.353188)"
002249,Special Premises,Ski Wentworth ,14595 Hwy #4 ,Wentworth,NS,B0M 1Z0,"Wentworth, NS B0M 1Z0
(45.656063, -63.554293)"
006073,Eating Establishment,Bar Kismet Ltd.,2733 Agricola ST,Halifax,NS,B3K 4E2,"Halifax, NS B3K 4E2
(44.657246, -63.596157)"
002947,Lounge,Ralph's Lounge,130 Main ST,Dartmouth,NS,B2X 1R9,"Dartmouth, NS B2X 1R9
(44.637774, -63.575013)"
005024,Special Premises,S.V. Amoeba,1340 Big Baddeck RD,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
001128,Special Premises,Arborstone Enhanced Care,126 Purcell's Cove RD,Halifax,NS,B3P 1B5,"Halifax, NS B3P 1B5
(44.630833, -63.609855)"
006191,Eating Establishment,Shore Thing Seafood Galley & Quarters,40 Water ST,Digby,NS,B0V 1A0,"Digby, NS B0V 1A0
(44.608711, -65.781904)"
006167,Lounge,Chameleon Cafe & Supper Club,7071 Bayers RD,Halifax,NS,B3L 2C2,"Halifax, NS B3L 2C2
(44.653612, -63.627898)"
001327,Special Premises,Harbourview Lounge & Tiffany's Bar,2615 Northwood Terrace ,Halifax,NS,B3K 3S5,"Halifax, NS B3K 3S5
(44.656928, -63.592238)"
005538,Eating Establishment,China Boat Restaurant,115 Water ST,Pictou,NS,B0K 1H0,"Pictou, NS B0K 1H0
(45.680541, -62.719343)"
005798,Lounge,EDNA Restaurant,2053 Gottingen  ST,Halifax,NS,B3K 3B2,"Halifax, NS B3K 3B2
(44.651389, -63.582437)"
003437,Special Premises,Scotia Speedworld,150 Bell BL,Enfield,NS,B2T 1K3,"Enfield, NS B2T 1K3
(44.879084, -63.521877)"
001714,Special Premises,Osprey Shores Resort,75 Ferry LN,Guysborough,NS,B0H 1N0,"Guysborough, NS B0H 1N0
(45.369785, -61.472788)"
006209,Lounge,East Side Mario's,5287 Prince ST,Halifax,NS,B3J 3Z7,"Halifax, NS B3J 3Z7
(44.646633, -63.576343)"
006159,Eating Establishment,The Good Food Emporium,2186 Windsor  ST,Halifax,NS,B3K 5B8,"Halifax, NS B3K 5B8
(44.649945, -63.595093)"
004729,Lounge,Trapeze,1983 Upper Water ST,Halifax,NS,B3J 3Y5,"Halifax, NS B3J 3Y5
(44.65299, -63.578139)"
005333,Lounge,Shooters Sports Billiard Club ,194 Highway #2  ,Enfield,NS,B2T 1C8,"Enfield, NS B2T 1C8
(44.937306, -63.535126)"
006206,Eating Establishment,Boston Pizza Truro,68  Robie  ST,Truro,NS,B2N 1L2,"Truro, NS B2N 1L2
(45.368312, -63.308279)"
003042,Special Premises,Dooly's Rockingham,30 Farnham Gate RD,Halifax,NS,B3M 3W8,"Halifax, NS B3M 3W8
(44.673279, -63.664255)"
005475,Eating Establishment,Flavors Catering & Fine Foods,16 Pitt ST,Sydney,NS,B1P 5X3,"Sydney, NS B1P 5X3
(46.139125, -60.195481)"
004338,Lounge,Townhouse Brewpub & Eatery Lounge,76 College ST,Antigonish,NS,B2G 1X7,"Antigonish, NS B2G 1X7
(45.62251, -61.991452)"
002691,Special Premises,Dominion & District Recreation Complex,142 Kings RD,Dominion,NS,B1G 1H6,"Dominion, NS B1G 1H6
(46.213534, -60.013134)"
003462,Special Premises,Casino Premises (Sydney),525 George  ST,Sydney,NS,B1P 1K5,"Sydney, NS B1P 1K5
(46.137116, -60.192219)"
002972,Lounge,Your Father's Moustache Lounge,5686 Spring Garden  RD,Halifax,NS,B3J 1G9,"Halifax, NS B3J 1G9
(44.642657, -63.578842)"
003813,Lounge,Belly Up BBQ and Grill,214 Robie ST,Truro,NS,B2N 1L1,"Truro, NS B2N 1L1
(45.368518, -63.307229)"
003078,Lounge,Bubba Ray's Sports Bar (Bedford) ,1658 Bedford Hwy. ,Bedford,NS,B4A 2X9,"Bedford, NS B4A 2X9
(44.737868, -63.654307)"
000848,Lounge,The Bridgewater Local Public House,421 LaHave ST,Bridgewater,NS,B4V 2W7,"Bridgewater, NS B4V 2W7
(44.37116, -64.551236)"
005686,Eating Establishment,Wasabi House Restaurant,6403 Quinpool RD,Halifax,NS,B3L 1A7,"Halifax, NS B3L 1A7
(44.644495, -63.600411)"
002872,Lounge,Kings Arms Pub by Lew Murphy's Lounge,390 Main ST,Kentville,NS,B4N 4H8,"Kentville, NS B4N 4H8
(45.058395, -64.537739)"
006226,Lounge,Salmon Pool Inn,9378 Cabot Trail ,Margaree,NS,B0E 1Y0,"Margaree, NS B0E 1Y0
(46.397281, -61.074733)"
006332,Eating Establishment,The Hollow Log Cafe,9902 Hwy 8 ,Caledonia,NS,B0T 1B0,"Caledonia, NS B0T 1B0
(44.392584, -65.036832)"
006068,Eating Establishment,Vicki's Seafood Restaurant,4733 Highway #1 ,Granville Ferry,NS,B0S 1K0,"Granville Ferry, NS B0S 1K0
(44.757391, -65.512286)"
002620,Lounge,Glenora Distillery Lounge,13727 Route 19 ,Glenville,NS,B0E 1X0,"Glenville, NS B0E 1X0
(46.077579, -61.39362)"
005506,Eating Establishment,Henley House Pub and Restaurant Dining Room,22478 #7 Highway  ,Sheet Harbour,NS,B0J 3B0,"Sheet Harbour, NS B0J 3B0
(44.922015, -62.521117)"
003232,Lounge,Kempster's Lounge,3644 Kempt RD,Halifax,NS,B3M 1B6,"Halifax, NS B3M 1B6
(44.654149, -63.646599)"
003531,Special Premises,Buddy's Pool Hall,564 Sackville DR,Lwr. Sackville,NS,B4C2S2,"Lwr. Sackville, NS B4C2S2
(44.767063, -63.683393)"
004844,Special Premises,M.V. Leif Ericson,355 Purves ST,North Sydney,NS,B2A 3M5,"North Sydney, NS B2A 3M5
(46.232932, -60.299747)"
005629,Eating Establishment,Bi One Japanese Korean Restaurant,6300 Quinpool  RD,Halifax,NS,B3L 1A5,"Halifax, NS B3L 1A5
(44.645173, -63.598083)"
004092,Lounge,"Dooly's Lounge, New Minas",9049 Commercial ST,New Minas,NS,B4N 5A4,"New Minas, NS B4N 5A4
(45.027355, -64.661303)"
004689,Lounge,Front & Central Lounge,117 Front ST,Wolfville,NS,B4P 1A5,"Wolfville, NS B4P 1A5
(45.09239, -64.35988)"
004172,Lounge,S.S. Deck Lounge,35 High ST,Bridgewater,NS,B4V 1V8,"Bridgewater, NS B4V 1V8
(44.372624, -64.529567)"
005885,Eating Establishment,Three Doors Down Diner,474 Chebucto ST,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
005340,Lounge,Bistro le Coq ,1584 Argyle ST,Halifax,NS,B3J 2B3,"Halifax, NS B3J 2B3
(44.64593, -63.574179)"
002225,Special Premises,Holiday Inn Sydney,300 Esplanade ST,Sydney,NS,B1P 1A7,"Sydney, NS B1P 1A7
(46.138552, -60.195937)"
006102,Eating Establishment,Quiznos Sub Dartmouth Crossing,30 Foulis RD,Dartmouth,NS,B3B 1E0,"Dartmouth, NS B3B 1E0
(44.714272, -63.580993)"
004253,Special Premises,Pier 23 (Cunard Centre),961 Marginal RD,Halifax,NS,B3H 4P7,"Halifax, NS B3H 4P7
(44.634186, -63.567008)"
003552,Lounge,Walton Pub & Eatery Lounge,39 Shore RD,Walton,NS,B0N 2R0,"Walton, NS B0N 2R0
(45.230397, -64.005362)"
002918,Lounge,Northend Lounge,2776 Gottingen ST,Halifax,NS,B3K 3C8,"Halifax, NS B3K 3C8
(44.659628, -63.594475)"
005865,Eating Establishment,Prospectors Pub & Eatery,75 Peakview  WA,South Bedford,NS,B3M 0G2,"South Bedford, NS B3M 0G2
(44.672391, -63.656688)"
006310,Eating Establishment,Vernon's Thunderbird Diner Inc.,2094 Hammonds Plains RD,Hammonds Plains,NS,B4B 1P3,"Hammonds Plains, NS B4B 1P3
(44.734433, -63.781788)"
003690,Lounge,Top Hat Lounge,963 Central  AV,Greenwood,NS,B0P 1N0,"Greenwood, NS B0P 1N0
(44.969714, -64.929412)"
004652,Special Premises,Glen Arbour Golf Club,40 Club House LN,Hammonds Plains,NS,B4B 1T4,"Hammonds Plains, NS B4B 1T4
(44.748175, -63.773748)"
003167,Special Premises,Savoy Theatre,116 Commercial ST,Glace Bay,NS,B1A 3C1,"Glace Bay, NS B1A 3C1
(46.197034, -59.959779)"
005791,Eating Establishment,Dieter's German Baked Goods & Cafe,358 St. George ST,Annapolis Royal,NS,B0S 1A0,"Annapolis Royal, NS B0S 1A0
(44.73394, -65.498816)"
006166,Eating Establishment,Chameleon Cafe & Supper Club,7071 Bayers RD,Halifax,NS,B3L 2C2,"Halifax, NS B3L 2C2
(44.653612, -63.627898)"
004819,Lounge,Paddy's Irish Pub Lounge,460 Main ST,Wolfville,NS,B4P 1E2,"Wolfville, NS B4P 1E2
(45.0914, -64.36281)"
004908,Special Premises,Glen Lovat Golf Course,151 Frassers Mt. Branch RD,New Glasgow,NS,B2H 5C4,"New Glasgow, NS B2H 5C4
(45.605793, -62.580182)"
000796,Special Premises,LaHave River Yacht Club,77 Pernette RD,Pleasantville,NS,B4V 2W8,"Pleasantville, NS B4V 2W8
(44.346073, -64.512658)"
005891,Eating Establishment,Agricola Street Brasserie,2540 Agricola ST,Halifax,NS,B3K 4C5,"Halifax, NS B3K 4C5
(44.654568, -63.592471)"
003861,Lounge,Split Crow Antigonish,25 James ST,Antigonish,NS,B2G 1R6,"Antigonish, NS B2G 1R6
(45.616545, -61.999433)"
005416,Eating Establishment,Port Bistro EE,980 Terry's Creek RD,Port Williams,NS,B0P 1T0,"Port Williams, NS B0P 1T0
(45.106734, -64.416048)"
004893,Lounge,"Roost Lounge, The",358 Lacewood DR,Halifax,NS,B3M 2P2,"Halifax, NS B3M 2P2
(44.664122, -63.646715)"
002312,Lounge,Bunker's Peanut Bar Lounge,233 Esplanade ST,Sydney,NS,B1P 1A6,"Sydney, NS B1P 1A6
(46.14046, -60.196524)"
005952,Eating Establishment,DoraQ,5640 Spring Garden  RD,Halifax,NS,B3J 1H6,"Halifax, NS B3J 1H6
(44.642498, -63.578937)"
006100,Eating Establishment,ILTrullo Ristorante Italiano,67 Kings Wharf PL,Dartmouth,NS,B2Y 0B4,"Dartmouth, NS B2Y 0B4
(44.664592, -63.552542)"
004276,Special Premises,Lord Nelson Hotel,1515 South Park ST,Halifax,NS,B3K 1A1,"Halifax, NS B3K 1A1
(44.651448, -63.582121)"
006151,Eating Establishment,St. Louis Bar & Grill,547 Portland ST,Dartmouth,NS,B2Y 4B1,"Dartmouth, NS B2Y 4B1
(44.670394, -63.536623)"
000956,Lounge,"Wooden Door Bistro Lounge, Enfield",60 Sky BL,Enfield,NS,B2T 1K3,"Enfield, NS B2T 1K3
(44.879084, -63.521877)"
005938,Eating Establishment,Flavor on the Water ,74 Esplanade ,Sydney,NS,B1P 1A1,"Sydney, NS B1P 1A1
(46.143824, -60.200229)"
004309,Lounge,Dave Doolittle's Tap Room & Grill Lng,90 Tacoma DR,Dartmouth,NS,B2W 3E5,"Dartmouth, NS B2W 3E5
(44.680812, -63.538893)"
005073,Lounge,Henry House ,1222 Barrington ST,Halifax,NS,B3J 1Y4,"Halifax, NS B3J 1Y4
(44.640138, -63.57043)"
006065,Lounge,The Frolic & Folk Pub & Grill,4115 Highway 223 ,Iona,NS,B2C 1A3,"Iona, NS B2C 1A3
(45.94646, -60.839188)"
005853,Eating Establishment,East Foodies Chinese Restaurant,1465 St. Margarets Bay RD,Lakeside,NS,B3T 1B3,"Lakeside, NS B3T 1B3
(44.637502, -63.699391)"
002959,Lounge,Blue Mist Lounge,85 Main ST,Bras d'Or,NS,B1Y 2M2,"Bras d'Or, NS B1Y 2M2
(46.237049, -60.262841)"
005766,Eating Establishment,Wok Box,55 Gale Terrace  ,Dartmouth,NS,B3B 0B7,"Dartmouth, NS B3B 0B7
(44.69063, -63.561602)"
002149,Special Premises,Delta Barrington,1875 Barrington ST,Halifax,NS,B3J 3L6,"Halifax, NS B3J 3L6
(44.648882, -63.57495)"
003946,Special Premises,Fox Hollow Golf Club ,802 Highway #2 ,Stewiacke,NS,B0N 2J0,"Stewiacke, NS B0N 2J0
(45.103912, -63.412696)"
005659,Lounge,Cabot Links at Inverness,10 Beach RD,Inverness,NS,B0E 1N0,"Inverness, NS B0E 1N0
(46.226447, -61.29886)"
003771,Lounge,Connor's Lounge,103 South Albion ST,Amherst,NS,B4H 2X2,"Amherst, NS B4H 2X2
(45.81989, -64.20616)"
003453,Special Premises,Inverary Inn Resort,368 Shore  RD,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
006067,Eating Establishment,Tom's Pizza Restaurant,466/464 Chebucto ST,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
000974,Lounge,Cellar Lounge,1539 Southampton RD,Amherst,NS,B4H 3Z2,"Amherst, NS B4H 3Z2
(45.91326, -64.048608)"
006036,Eating Establishment,Windsor Lucky Pizza,23 Water  ST,Windsor,NS,B0N 2T0,"Windsor, NS B0N 2T0
(44.974763, -64.131268)"
005649,Eating Establishment,Amedeo's Italian Bistro,100 Townsend ST,Sydney,NS,B1P 5E1,"Sydney, NS B1P 5E1
(46.134913, -60.19228)"
006034,Eating Establishment,TALO Cafebar,195 Commercial ST,Glace Bay,NS,B1A 3B9,"Glace Bay, NS B1A 3B9
(46.195943, -59.956259)"
006113,Eating Establishment,Big Tancook Island Cafe and Restaurant,696 Big Tancook Island RD,Big Tancook Island,NS,B0J 3G0,"Big Tancook Island, NS B0J 3G0
(44.452071, -64.172157)"
004793,Lounge,"Old Triangle Irish Alehouse, Lounge",5136 Prince ST,Halifax,NS,B3J 1L4,"Halifax, NS B3J 1L4
(44.647582, -63.572365)"
005336,Lounge,"Boston Pizza Lounge, Halifax",1858 Granville ST,Halifax,NS,B3J 0A2,"Halifax, NS B3J 0A2
(44.648981, -63.574103)"
005943,Lounge,The Butchers Block Pub & Eatery ,540 Southgate DR,Bedford,NS,B4A 0C9,"Bedford, NS B4A 0C9
(44.70926, -63.675013)"
005503,Eating Establishment,Wild Caraway Cafe and Restaurant,3721 Highway 209 ,Advocate Harbour,NS,B0M 1A0,"Advocate Harbour, NS B0M 1A0
(45.33839, -64.774543)"
004335,Lounge,Jack Astor's Bar & Grill Lounge,184 Chain Lake  DR,Halifax,NS,B3S 1C5,"Halifax, NS B3S 1C5
(44.647827, -63.674215)"
006154,Lounge,Bubba Ray's Sports Bar Windsor,4120 Highway #1 ,Garlands Crossing,NS,B0N 2T0,"Garlands Crossing, NS B0N 2T0
(44.974763, -64.131268)"
006025,Lounge,Smiling Goat Organic Espresso Bar,1475 Lower Water ST,Halifax,NS,B3J 3Z2,"Halifax, NS B3J 3Z2
(44.644825, -63.570374)"
002089,Special Premises,M.V. Blue Puttees,355 Purves ST,North Sydney,NS,B2A 3M5,"North Sydney, NS B2A 3M5
(46.232932, -60.299747)"
005936,Eating Establishment,Downstreet Coffee Company,15844 Central  AV,Inverness,NS,B0E 1N0,"Inverness, NS B0E 1N0
(46.226447, -61.29886)"
003036,Lounge,Timberlea Lounge,1820 St. Margaret's Bay RD,Timberlea,NS,B3T 1K8,"Timberlea, NS B3T 1K8
(44.657797, -63.739755)"
006356,Eating Establishment,Man Bean Food Services,1284 Barrington ST,Halifax,NS,B3J 1Y5,"Halifax, NS B3J 1Y5
(44.641138, -63.570854)"
003830,Special Premises,Pines Resort Golf Club,103 Shore RD,Digby,NS,B0V 1A0,"Digby, NS B0V 1A0
(44.608711, -65.781904)"
006237,Eating Establishment,Sushi Nami Royale,827 Bedford Hwy. ,Bedford,NS,B4A 0J1,"Bedford, NS B4A 0J1
(44.724566, -63.664736)"
006323,Eating Establishment,EJ's Grill & General Store,644 Route 8  ,Maitland Bridge,NS,B0T 1B0,"Maitland Bridge, NS B0T 1B0
(44.392584, -65.036832)"
004879,Lounge,Pins Entertainment Lounge,3072 Post RD,Antigonish,NS,B2G 2T4,"Antigonish, NS B2G 2T4
(45.608543, -62.000005)"
001852,Special Premises,Shore Club,250 Shore Club RD,Hubbards,NS,B0J 1T0,"Hubbards, NS B0J 1T0
(44.50715, -64.058147)"
004679,Lounge,Dooly's Lounge (Lr. Sackville),776 Sackville DR,Lr. Sackville,NS,B4E 1R7,"Lr. Sackville, NS B4E 1R7
(44.77285, -63.692215)"
002981,Lounge,McKelvie's Lounge,1680 Lower Water ST,Halifax,NS,B3J 2Y3,"Halifax, NS B3J 2Y3
(44.651615, -63.572435)"
005937,Lounge,Downstreet Coffee Company,15844 Central  AV,Inverness,NS,B0E 1N0,"Inverness, NS B0E 1N0
(46.226447, -61.29886)"
002878,Lounge,Curly Portables Lounge,450 Highway #2  ,Enfield,NS,B2T 1M5,"Enfield, NS B2T 1M5
(44.944331, -63.534494)"
003972,Lounge,Boondocks Lounge,200 Government Wharf RD,Eastern Passage,NS,B3G 1M7,"Eastern Passage, NS B3G 1M7
(44.621493, -63.503936)"
003030,Lounge,Melville Heights Lounge,24 Ramsgate  LN,Halifax,NS,B3P 2R6,"Halifax, NS B3P 2R6
(44.631979, -63.613562)"
005968,Eating Establishment,Bubba Ray's Sports Bar Too (Bayers Rd.),7071 Bayers Rd. Shop.Ctr.  ,Halifax,NS,B3L 2C2,"Halifax, NS B3L 2C2
(44.653612, -63.627898)"
004785,Special Premises,Parkland Estates,"114,116,118 Fairfax DR",Halifax,NS,B3S 1J3,"Halifax, NS B3S 1J3
(44.661232, -63.671349)"
002786,Special Premises,Mission to Seafarers,844 Marginal RD,Halifax,NS,B3H 4N4,"Halifax, NS B3H 4N4
(44.637704, -63.565763)"
006163,Eating Establishment,Joe's Pizzeria and Italian Fare,324 Commercial ST,North Sydney,NS,B2A 1C2,"North Sydney, NS B2A 1C2
(46.209938, -60.248026)"
006334,Eating Establishment,The Freight Shed Waterside Bistro & Market Ltd.,2 Jones ST,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
005792,Eating Establishment,Ratinaud French Cuisine,2157 Gottingen  ST,Halifax,NS,,"Halifax, NS
(44.646244, -63.573566)"
000957,Special Premises,Airport Hotel,60 Sky BL,Enfield,NS,B2T 1K3,"Enfield, NS B2T 1K3
(44.879084, -63.521877)"
006097,Eating Establishment,Vicki's Restaurant,812 Central AV,Greenwood ,NS,,"Greenwood, NS
(44.983299, -64.899902)"
006289,Eating Establishment,Breakwater Restaurant,91 Water ST,Pictou,NS,B0K 1H0,"Pictou, NS B0K 1H0
(45.680541, -62.719343)"
006207,Lounge,Boston  Pizza Truo,68  Robie  ST,Truro,NS,B2N 1L2,"Truro, NS B2N 1L2
(45.368312, -63.308279)"
006304,Eating Establishment,Shore Road Seafood,3931 Shore RD,Hillsburn,NS,B0S 1K0,"Hillsburn, NS B0S 1K0
(44.757391, -65.512286)"
005669,Eating Establishment,Song's Korean Restaurant,6249 Quinpool RD,Halifax,NS,B3L 1A3,"Halifax, NS B3L 1A3
(44.645669, -63.595739)"
005041,Lounge,Ice House Lounge,68 Bluenose DR,Lunenburg,NS,B0J 2C0,"Lunenburg, NS B0J 2C0
(44.377523, -64.315648)"
001134,Special Premises,Martock II Ski & Recreation Lodge,370 Ski Martock RD,Windsor,NS,B0N 2T0,"Windsor, NS B0N 2T0
(44.974763, -64.131268)"
005419,Lounge,Cut Steakhouse & Urban Grill,5120 Salter ST,Halifax,,B3J 0A1,"Halifax B3J 0A1
(44.644929, -63.570914)"
005846,Eating Establishment,Resto Urban Dining,1516 Bedford Highway ,Bedford,NS,B4A 1E4,"Bedford, NS B4A 1E4
(44.731608, -63.658584)"
004705,Special Premises,Baddeck Curling Club,14 Campbell ST,Baddeck,NS,B0E 1B0,"Baddeck, NS B0E 1B0
(46.135073, -60.88087)"
004040,Lounge,Dooly's Lounge (Amherst),1 Landsdown AV,Amherst,NS,B4H 2T1,"Amherst, NS B4H 2T1
(45.830532, -64.213241)"
005231,Lounge,Boston Pizza (Sydney),325 Prince ST,Sydney,NS,B1P 5K6,"Sydney, NS B1P 5K6
(46.139451, -60.185155)"
002673,Lounge,Glooscap Lounge,758 Upper Main ST,Parrsboro,NS,B0M 1S0,"Parrsboro, NS B0M 1S0
(45.467124, -64.359312)"
003662,Lounge,Island Nest Lounge,2344 Highway 206  ,Arichat,NS,B0E 1A0,"Arichat, NS B0E 1A0
(45.51442, -61.006232)"
005699,Eating Establishment,Pavia Gallery - Espresso Bar & Cafe,995 Herring Cove  RD,Herring Cove,NS,B3V 1H6,"Herring Cove, NS B3V 1H6
(44.567302, -63.568385)"
004608,Lounge,Best kept Secret,21 Portland ST,Dartmouth,NS,B2Y 1H1,"Dartmouth, NS B2Y 1H1
(44.665166, -63.56726)"
005618,Eating Establishment,Kenny's Pizza Sydney,89 Townsend ST,Sydney,NS,B1P 5C7,"Sydney, NS B1P 5C7
(46.134747, -60.193427)"
005668,Lounge,Rum Runner Lounge,66-70 Montague ST,Lunenburg,NS,B0J 2C0,"Lunenburg, NS B0J 2C0
(44.377523, -64.315648)"
005537,Lounge,Falcourt Inn Lounge,8979 Highway #201 ,Nictaux East,NS,B0S 1P0,"Nictaux East, NS B0S 1P0
(44.940456, -65.066774)"
006135,Eating Establishment,Patrons 902 Modern Food Fusion,105-27 Dellridge LN,Bedford,NS,B4A 0H1,"Bedford, NS B4A 0H1
(44.725199, -63.667093)"
005796,Eating Establishment,Salmon River House ,9931 Highway #7 ,Salmon River ,NS,B0J 1P0,"Salmon River, NS B0J 1P0
(44.771968, -63.058662)"
005990,Eating Establishment,The Middle Spoon Desserterie & Bar,1595 Bedford Hwy. ,Bedford,NS,B4A 3Y4,"Bedford, NS B4A 3Y4
(44.734813, -63.655248)"
006251,Eating Establishment,Station Six,247 Herring Cove  RD,Halifax,NS,B3P 1L6,"Halifax, NS B3P 1L6
(44.620183, -63.616883)"
006141,Eating Establishment,Tom's Pizzeria,106 Hwy 201 ,Lequille,NS,B0S 1A0,"Lequille, NS B0S 1A0
(44.73394, -65.498816)"
006158,Eating Establishment,Wild Leek Food and Juice Bar,2156 Windsor  ST,Halifax,NS,B3K 5B6,"Halifax, NS B3K 5B6
(44.649381, -63.594378)"
005989,Lounge,The Ship's Galley,156 Water ST,Shelburne,NS,B0T 1W0,"Shelburne, NS B0T 1W0
(43.750899, -65.340659)"
005424,Eating Establishment,Shenanigans Sports Bar,197 Archimedies ST,New Glasgow,NS,B2H 3R3,"New Glasgow, NS B2H 3R3
(45.580718, -62.643955)"
004586,Lounge,Menz Bar,2182 Gottingen ST,Halifax,NS,B3K 3B4,"Halifax, NS B3K 3B4
(44.652437, -63.584041)"
006091,Lounge,Lot Six Bar & Restaurant,1685 Argyle  ST,Halifax,NS,B3J 2B5,"Halifax, NS B3J 2B5
(44.646362, -63.574407)"
005564,Lounge,Cafe Chianti,1241 Barrington  ST,Halifax,NS,B3J 1Y3,"Halifax, NS B3J 1Y3
(44.640579, -63.570654)"
006327,Eating Establishment,Waves Wharfside Restaurant and Lounge,1959 Upper Water (Pier) ST,Halifax,NS,B3J 3N2,"Halifax, NS B3J 3N2
(44.652692, -63.577708)"
003868,Lounge,Gus's Lounge,2605 Agricola ST,Halifax,NS,B3K 4C7,"Halifax, NS B3K 4C7
(44.656504, -63.594851)"
005571,Eating Establishment,Bistro East Dining Room,274 St. George ST,Annapolis Royal,NS,B0S 1A0,"Annapolis Royal, NS B0S 1A0
(44.73394, -65.498816)"
006278,Eating Establishment,Gangnam Korean BBQ,1261 Barrington ST,Halifax,NS,B3J 1Y2,"Halifax, NS B3J 1Y2
(44.641029, -63.570791)"
006140,Eating Establishment,Black Sheep Restaurant,1569 Dresden Row ,Halifax,NS,B3J 2K4,"Halifax, NS B3J 2K4
(44.643977, -63.578445)"
006212,Eating Establishment,Little Oak,1475 Lwr. Water ST,Halifax,NS,B3J 3Z2,"Halifax, NS B3J 3Z2
(44.644825, -63.570374)"
005671,Eating Establishment,McGill's Cafe & Restaurant,18 Kentucky CT,New Minas,NS,B4N 4N2,"New Minas, NS B4N 4N2
(45.063674, -64.474668)"
006221,Lounge,Edible Matters ,1345 Hammonds Plains RD,Bedford,NS,B4B 1P6,"Bedford, NS B4B 1P6
(44.728382, -63.748866)"
005740,Eating Establishment,Inn the Elms,10340 Durham ST,Pugwash,NS,B0K 1L0,"Pugwash, NS B0K 1L0
(45.851054, -63.658815)"
002717,Lounge,Dauphinee Inn Lounge,167 Shore RD,Hubbards,NS,B0J 1T0,"Hubbards, NS B0J 1T0
(44.50715, -64.058147)"
005052,Lounge,Duke's Place Pub and Grill,1 Pitt ST,Sydney Mines,NS,B1V 2R7,"Sydney Mines, NS B1V 2R7
(46.24131, -60.215383)"
005801,Eating Establishment,Troy Restaurant,12 Elm AV,Wolfville,NS,B4P 1Z9,"Wolfville, NS B4P 1Z9
(45.091399, -64.364258)"
006343,Eating Establishment,Boston Pizza - New Glasgow,689 Westville RD,New Glasgow,NS,B2H 2J6,"New Glasgow, NS B2H 2J6
(45.578742, -62.66412)"
003848,Lounge,Big Leagues Lounge,920 Cole Harbour RD,Dartmouth,NS,B2V 2J5,"Dartmouth, NS B2V 2J5
(44.671058, -63.499361)"
006352,Eating Establishment,ORSO Pub and Eatery,1859 Brunswick  ST,Halifax,NS,B3J 3L8,"Halifax, NS B3J 3L8
(44.648999, -63.577962)"
005237,Lounge,"Boston Pizza Lounge, Lwr Sackville",710 Sackville DR,Lower Sackville,NS,B4E 3A4,"Lower Sackville, NS B4E 3A4
(44.770741, -63.690256)"
